Area,ShopName,Address
경기도,화성남양시장점,경기 화성시 남양읍 남양성지로 139-1
대구광역시,대구수성3가점,대구 수성구 수성동3가 72-1
전라북도,전주대자인병원점,전주시 덕진구 우아동3가749-63
인천광역시,인천아인여성병원점,인천광역시 미추홀구 주안동 포레나미추홀 201동 1층 1032호
서울특별시,월곡두산위브점,서울시 성북구 오패산로 46
인천광역시,인천검암우체국점,인천광역시 서구 승학로 414
전라남도,나주영산포점,전남 나주시 이창1길 10-1
부산광역시,부산명륜점,부산 동래구 명륜로 187번길 8 (명륜동 696-110)
광주광역시,광주주월골드점,광주 광역시 남구 주월동 1328
경기도,분당수내역1번출구점,경기 성남시 분당구 황새울로258번길 32
전라남도,목포여객터미널점,목포시 해안로 189-1
충청남도,빽다방 빵연구소 천안용곡DT점,천안시 동남구 용곡동 546-6 
서울특별시,구의중앙점,서울시 광진구 구의로6
대전광역시,대전낭월점,대전 동구 산내로1305번길 6
전라북도,전북완주첨단점,전라북도 완주군 봉동읍 둔산리 900-1
부산광역시,부산명지국제타워점,부산 강서구 명지국제8로 251 (명지동 3358-1) 
대전광역시,대전수정타운점,대전 서구 청사로 282 수정상가 1층
전라북도,전주서부시장점,전라북도 전주시 완산구 용머리로149(힐스테이트어울림효자 상가1층 104호)
서울특별시,난곡세이브점,서울 관악구 신림동 726-7( 난곡로 217) 1
대전광역시,대전둔산초점,대전 서구 둔산남로 41
서울특별시,419사거리점,서울 강북구 수유동 279-84
서울특별시,공존점,서울 구로구 새말로 97 (구로동 신도림테크노마트) 34층
제주도,서귀포동홍중앙점,제주특별자치도 서귀포시 동홍동 96-4 1층
경기도,다산새봄점,경기도 남양주시 다산순환로 418 (1층 104호)
서울특별시,가산로데오점,서울 금천구 가산동 60-51(디지털로 200) 가산IT타워 1층
전라남도,철원와수리점,전남 무안군 강원도 철원군 서면 와수로 175
경기도,평택동삭대림점,경기도 평택시 모산1길 81 103호
인천광역시,인천관교한신점,인천 미추홀구 주안동 1525번지  1층
서울특별시,종로두산위브점,서울 종로구 수송동 58
경상남도,양산세무서점,경남 양산시 물금읍 서들로 138 나래스타상가 105호 (가촌리 1301-4)
전라남도,전남나주중앙점,전라남도 나주시 나주로173 1층
서울특별시,하계을지병원점,서울 노원구 하계동 179-25 1층
충청남도,천안성정주공5단지점,충남 천안시 서북구 성정로 72
서울특별시,마포시민공원점,서울 마포구 망원동 419-3(망원로 19)참존아파트상가 105호
서울특별시,월계인덕대점,서울 노원구 월계로 334 102호
경기도,기흥역점,경기 용인시 기흥구 기흥역로 58번길 10
경기도,수원매교힐스테이트점,경기 수원시 팔달구 효원로93번길 33 2동 107호
경기도,안산서울예대점,안산시 단원구 고잔동 646  1층
경기도,파주봉서농협점,경기 파주시 파주읍 봉서리 828-5(통일로 1541)
전라남도,목포중흥S클래스점,전라남도 목포시 비파로 96 (상동) 110호
서울특별시,뚝섬상원길점,서울 성동구 상원길 50
세종특별자치시,세종고운남측점,세종특별시 고운동 1720 103호(세종시 마음로 70)
전라북도,삼례우석대점,전라북도 완주군 삼례읍 동학로 116
충청북도,청주방서점,충청북도 청주시 상당구 단재로 316 1층
경기도,화성반월반달마을점,경기 화성시 영통로26번길 15
서울특별시,잠실레이크팰리스점,서울 송파구 석촌호수로 144
대구광역시,대구칠성하늘채점,대구 북구 칠성동2가 723
서울특별시,이태원경리단길점,서울 용산구 회나무로13길 5
전라남도,전남무안읍점,전남 무안군 무안읍 하마로15 상가동 102호
경기도,안산고잔역점,경기 안산시 단원구 광덕4로 102 신원프라자 1층 116호
충청남도,천안입장점,충청남도 천안시 서북구 입장면 하장4길 2 (하장리 45-27) 12층
대전광역시,대전문화점,대전 문화동 571-1 1층
부산광역시,부산북구빙산센터점,부산 북구 금곡대로 48 (덕천동 310-10)
인천광역시,인천논현에코점,인천 광역시 남동구 논현동 768-1
경기도,여주중앙점,경기 여주시 세종로 17-1
경기도,수원고색산업단지점,경기소 수원시 권선구 산업로 180 104호 (고색동 DH테크타워)
서울특별시,삼양시장점,서울 강북구 미아동 867-118
충청남도,보령동대점,충청남도 보령시 작은오랏4길 15-22
충청북도,청주용암현대점,충북 청주시 상당구 월평로184번길 147  
대구광역시,대구범물시티월드점,대구 수성구 지범로 183
대전광역시,대전장대점,대전 유성구 장대동 352-10
서울특별시,장안현대홈타운점,서울 동대문구 장안벚꽃로 107 (장안동 장안현대홈타운) 1층 109호
경기도,평택고덕로데오점,경기 평택시 고덕갈평6길 27 (고덕동) 121호
인천광역시,인천검단블루텍점,인천광역시 서구 오류동 1657-2 (1층 110호)
서울특별시,가좌역점,서울 서대문구 수색로2길 39 (남가좌동 DMC금호리첸시아) 1층 106호
강원도,강릉주문진점,강원도 강릉시 주문진읍 항구로 65 1층
인천광역시,백운현대점,인천 부평구 경원대로 1238 이화빌딩 1층
서울특별시,목동41타워점,서울시 양천구 목동동로 293 1층 1-10호(목동 현대41타워)
서울특별시,논현영동시장점,서울 강남구 논현동 164-11(강남대로 506) 1층 109호
경기도,구리인창점,경기 구리시 인창동 412-12 (건원대로91)
대구광역시,대구내당점,대구 서구 내당동 219-15번지 1층
전라북도,익산부송오투점,익산 부송동 216-84 101호/102호
경기도,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호
서울특별시,천호힐데스하임점,서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8 9호
전라북도,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2
대전광역시,대전태평쌍용예가점,대전 중구 평촌로 102 (유천동) 1층
경기도,다산현대캠퍼스몰점,경기도 남양주시 다산동 6143 (다산순환로 20) 1층 E01-22호
경기도,부천옥길호반점,경기도 부천시 옥길동 777-4 서영아너시티 1차 108호
부산광역시,부산사직점,부산 동래구 사직북로 4 자이언츠파크 102호
경기도,일산하이파크시티점,경기 고양시 일산서구 덕이동 1541(하이파크3로78번길) 리더스프라자 101호
대구광역시,대구내당점,대구 서구 내당동 219-15번지 1층
전라북도,익산부송오투점,익산 부송동 216-84 101호/102호
경기도,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호
서울특별시,천호힐데스하임점,서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8 9호
전라북도,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2
대전광역시,대전태평쌍용예가점,대전 중구 평촌로 102 (유천동) 1층
경기도,다산현대캠퍼스몰점,경기도 남양주시 다산동 6143 (다산순환로 20) 1층 E01-22호
경기도,부천옥길호반점,경기도 부천시 옥길동 777-4 서영아너시티 1차 108호
부산광역시,부산사직점,부산 동래구 사직북로 4 자이언츠파크 102호
경기도,일산하이파크시티점,경기 고양시 일산서구 덕이동 1541(하이파크3로78번길) 리더스프라자 101호
경기도,수원곡반정동점,경기 수원시 권선구 곡반정로65번길 25
광주광역시,광주학운점,광주광역시 동구 학동 276-11
경기도,평택동삭센트럴파크점,경기 평택시 지제동삭2로 181-36
대구광역시,대구칠곡학정점,대구 북구 학정동 941-5
서울특별시,빽다방 빵연구소 연세대SK국제학사점,신촌동 134 (연세로 50) 연세대학교 신촌캠퍼스 sk국제학사 지하2층
서울특별시,등촌성당점,서울시 강서구 공항대로 41길 51 1층 101호 102호
대구광역시,대구봉무공원점,대구 동구 팔공로 242-13 (봉무동 연세메디컬센터) 1층 109호
세종특별자치시,세종한뜰마을4단지점,세종시 어진동 520 한신더휴리저브2 111호112호
인천광역시,인천검단파라곤점,인천광역시 서구 이음2로 29 (상가 603동 306호)
강원도,강원횡성점,강원 횡성군 문정로 19번길 4
인천광역시,빽다방 빵연구소 송도트리플타워점,인천 연수구 송도과학로28번길 8 108109호
대전광역시,대전한밭대점,대전광역시 유성구 학하서로121번길 45-2 1층
제주도,제주함덕점,제주도 제주시 조함해안로 450 (2~4층)
전라북도,전주용소점,전북 전주시 덕진구 시천로 17 1층 (107호)
대구광역시,대구매천시장점,대구시 북구 매천동 306번지 1층
경기도,광명G타워점,경기도 광명시 소하로 190 1층 G타워
강원도,춘천온의점,강원도 춘천시 춘천로 17번길 31 (더스위트캐슬 107호-108호 1층)
경기도,남양주2청사점,경기 남양주시 다산동 3073-1(다산지금로16번길 43) 1층 106호
서울특별시,고덕역점,서울 강동구 동남로75길 13-7
충청남도,천안신안점,충청남도 천안시 동남구 충절로 21 1층
제주도,제주삼도일동점,제주특별자치도 제주시 삼도일동 788-1 1층
전라북도,전주서곡,전북 전주시 완산구 세내로544 1층
전라남도,목포용해이로점,전남 목포시 용해동 234-7
강원도,강원양양점,강원 양양군 양양읍 양양로 57 (남문리) 1층
경기도,오산세마역점,경기 오산시 세마역로 95
경기도,동탄카림3차점,경기도 화성시 동탄순환대로12길 85 제3653동 제지1층 제비108호109호 (산척동 그린힐 반도유보라 아이비파크 10)
경기도,부천상동하얀마을점,경기도 부천시 상동 556-3번지 1층
인천광역시,운서영종대로점,인천광역시 중구 운서동 3098-1 1층
경기도,포천신읍점,경기도 포천시 신읍동 35-6 (중앙로 103)
제주도,제주화북남문점,제주도 제주시 화북1동 1984-9 1층
경기도,진접롯데시네마점,경기 남양주시 진접읍 해밀예당1로 36
세종특별자치시,조치원신흥점,세종시 조치원읍 신흥리 227-2
전라북도,전주우아한시티점,전라북도 전주시 덕진구 우아동3가 747-81 우아한시티 상가 19호
대전광역시,대전갑천만년점,대전광역시 서구 만년동 6번지 102호
서울특별시,한성대입구역점,서울 성북구 삼선교로 2-1 1층
서울특별시,금천정훈단지점,서울 금천구 독산로 211 (독산동 세진아파트) 1층 101호
강원도,강릉내곡점,강원 강릉시 범일로 631 1층
전라북도,익산동산제일점,전북 익산시 평동로 725 동산동 동산제일2차아파트상가 102호
인천광역시,송도스마트밸리점,인천광역시 연수구 송도동 214 송도 BRC 스마트밸리 지식산업센터 F동 207호(상가동)
경상남도,진주초장점,경남 진주시 초북로 50 (초전동 1699-3) 103호
부산광역시,빽다방 빵연구소 부산미남역점,부산광역시 동래구 우장춘로 7 (온천동 보민빌딩)
강원도,춘천우두택지점,강원도 춘천시 우두동 1118-1  (신축건물 1층 109호)
전라북도,정읍수성점,전북 정읍시 수성로 40
인천광역시,주안센트레빌점,인천광역시 미추홀구 주안동 22-14 1층 101호+102호
경기도,분당정자역점,경기 성남시 분당구 성남대로 331번길 131층 108호
인천광역시,인천산곡푸르지오점,인천광역시 부평구 산곡동 124-25
대구광역시,대구복현네거리점,대구광역시 북구 복현동 364-1 B동 1층 빽다방
인천광역시,영종운서스카이점,인천광역시 중구 흰바위로 284 디딤돌프라자 1층 (103호)
전라남도,전남함평점,전남 함평군 함평읍 기각리 1001-5
대구광역시,대구공평네거리점,대구 중구 공평로 71 1층
충청남도,서산테크노밸리점,충청남도 서산시 성연면 성연4로 27-28
경기도,다산테라타워점,경기 남양주시 다산동 6250(다산지금로 202) 1층 129호
대전광역시,대전법동점,대전 대덕구 법동 282-7 1층
강원도,철원동송점,강원 철원군 동송읍 이평리 680-93
경기도,파주LCD점,경기 파주시 월롱면 덕은리 1250-2(엘씨디로241번길 8-16) 102호
서울특별시,마곡리더스타워점,서울 강서구 마곡동 800-5(공항대로 228) 리더스타워 1층 111호
경기도,동탄서영아너시티점,경기 화성시 동탄영천로 101 132~133호
전라북도,전주사대부고점,전라북도 전주시 덕진구 백제대로639 1층 뺵다방
충청남도,아산호서대점,충남 아산시 배방읍 호서로79번길 15
경기도,수원호매실칠보점,경기 수원시 권선구 금호로 56 1층 102호
대전광역시,대전스마트시티점,대전 유성구 도룡동 4-8  1층 120호
경기도,안산반월공단점,경기도 안산시 단원구 산단로 296  대우테크노피아 1층 제에이106호
서울특별시,부산지사동점,부산광역시 강서구 과학산단2로 20번길 6 (지사동 1196-2)
경상북도,경북성주점,경상북도 성주군 성주읍 성주로3283 M타워 1층 빽다방
충청북도,충북대병원점,충북 청주시 서원구 개신동 52-3 1층
인천광역시,인천당하점,인천 서구 청마로167번길 3
제주도,제주평화로SK점,제주특별자치도 제주시 해안동 2171 1층
대전광역시,대전유성도안점,대전 유성구 도안대로 512-16  (1층 104호)
경기도,시흥목감조남점,경기 시흥시 조남동 657 키움프라자 111호 1층
서울특별시,마곡수명산점,서울 강서구 내발산동 750-12 (웨스턴빌딩 1층 103호)
대전광역시,대전유성센트럴점,대전 유성구 계룡로 132번길 10   센트럴프라자 1층 105호
충청남도,천안백석대점,충남 천안시 동남구 문암로 80 1층
전라남도,순천왕지점,전남 순천시 조례동 1833-5
경기도,동탄역시범단지점,경기도 화성시 청계동 514-2 서진프라자 105호
서울특별시,강서구청점,서울특별시 강서구 화곡로 318-1 1층
서울특별시,목동8단지점,서울 양천구 신정동 318-5 1층
서울특별시,길음롯데클라시아점,서울 성북구 길음동 508-16 롯데캐슬클라시아 상가동 117호
제주도,서귀포성읍마을점,제주특별자치도 서귀포시 표선면 성읍리 987-3 1층
서울특별시,숙대입구역점,서울 용산구 갈월동 90-10
충청남도,아산탕정역점,충남 아산시 탕정면 한들물빛도시로 70 109호
경기도,성남도촌점,경기 성남시 중원구 도촌남로 27 (도촌동 566 114호)
강원도,속초부영점,강원 속초시 청대로 204번길 39 1층
경기도,시흥배곧호반써밋점,경기 시흥시 배곧동 228-3
충청남도,천안두정대림포레점,충남 천안시 서북구 두정동 북일로 21 단지내 상가 103호
부산광역시,부산정관행복타운점,부산광역시 기장군 정관읍 정관1로 18 이지1차상가 125동 104호
경기도,병점역점,경기도 화성시 떡전골로 96-4 1층
경기도,수원파장점,경기 수원시 장안구 파장로 62
경기도,연천역점,경기도 연천군 연천읍 연천로260번길 11 1층
경기도,안산월피공원점,경기도 안산시 상록구 예술광장로 11 1층 101호
강원도,춘천후평점,강원 춘천시 후석로 280
인천광역시,주안북부역점,인천 미추홀구 주안동 25-65  (5호6호)
인천광역시,부평동아점,인천 부평구 부평문화로 55 (부평동 와이디타워) 1층 102호
제주도,빽다방 빵연구소 제주합동청사점,제주도 제주시 도남동 663-12
경기도,시흥능곡장현점,경기 시흥시 능곡번영길 25
서울특별시,개롱역점,서울 송파구 가락동 166-2 에스케이허브파크 113호
강원도,원주간현점,강원도 원주시 지정면 소금산길 22 1층
광주광역시,광주하남점,광주 광산구 사암로 216번길 30
서울특별시,상계보람점,서울 노원구 상계동 456-129
충청남도,충남부여점,충남 부여군 부여읍 석탑로 53 1층
서울특별시,장안뉴시티점,서울 동대문구 장한로 105 (장안동 장안 NEW CITY) 1층
대전광역시,대전지족점,대전 유성구 지족로 374 옥타브상가 B동 1층
대전광역시,대전탄방역점,대전 서구 계룡로553번길 18 (탄방동 조이빌딩) 1층
대전광역시,대전송강동,대전 유성구 봉산로 24 1층
인천광역시,송도닥터플러스몰점,인천광역시 연수구 컨벤시아대로 230번길 54
인천광역시,가정역SK리더스뷰점,인천 서구 가정로 437 (가정동 루원시티 SK Leaders VIEW) 302동 B231호
서울특별시,고대구로병원점,서울 구로구 구로동 730-60(구로동로 138)
전라북도,군산조촌디오션점,전북 군산시 궁포3로 12 1층 103호
충청남도,아산탕정예미지점,충남 아산시 탕정면 매곡한들5길 6-4
전라북도,전주호성점,전라북도 전주시 덕진구 호성동1가 828-14
인천광역시,인천구월정각초점,인천 남동구 구월동 1241-1
인천광역시,영종하늘달빛점,인천 중구 하늘달빛로 94 (중산동) 1층 120호
전라남도,전남영광읍점,전남 영광군 영광읍 중앙로 166
경기도,수원매탄위브점,경기 수원시 영통구 인계로 220번길 10
전라북도,정읍중앙점,전라북도 정읍시 수성동 571-11
경기도,안양메가트리아점,경기도 안양시 만안구 태평로 60번길 42 1층
경기도,동탄프리미엄아울렛점,경기 화성시 동탄기흥로257번가길 30-2
경기도,안양대림대앞점,경기 안양시 동안구 비산로 57 107호
경상북도,경주보문점,경북 경주시 보문로 549 (천군동) 1층 107호
경기도,범계에이스점,경기 안양시 동인구 시민대로109번길 29 1층 118호
경기도,성남상대원센터M점,경기 성남시 중원구 사기막골로62번길 33
강원도,원주기업도시점,강원도 원주시 지정면 신지정로 322-1 110호
경기도,평택현촌점,경기도 평택시 현촌 4길 6
서울특별시,영등포시장역점,서울 영등포구 국회대로50길 20 포레나영등포센트럴 상가동 117호
대전광역시,대전아이파크시티점,대전 유성구 상대복용로29번길 52 (아이파크시티 1단지 상가동 1층 35호 + 36호)
세종특별자치시,세종첫마을점,세종특별자치시 나성동 715 112호
경기도,오산고인돌공원점,경기 오산시 문헌공로 3 1층
전라남도,순천연향3지구점,전라남도 순천시 연향동 1686-2 1층 빽다방
경상북도,경산사동점,경북 경산시 사동 31번지 102호
강원도,원주건강보험공단점,강원도 원주시 반곡동 1913-7 가든식스.(1층 102호103호)
경상북도,경북고령다산점,경북 고령군 다산면 평리6길 8
서울특별시,가산AP타워점,서울 금천구 가산동 673(가산디지털1로 16) 가산skv1ap타워 105호
경기도,평택시청점,경기 평택시 평남로 702 1층
경상남도,진주혁신점,경상남도 진주시 충무공동 282-3 동행빌딩 105호
전라남도,전남장성점,전라남도 장성군 장성읍 영천리 1038-5 1층
부산광역시,부산남구청점,부산광역시 남구 대연동 1766-10 ( 못골로 24-1 )
충청남도,아산온중로점,충남 아산시 온중로 47 1동 101호
서울특별시,가산그레이트점,서울 금천구 가산동 60-5 갑을그레이트밸리 105호
전라북도,완주봉동점,전라북도 완주군 봉동읍 장기리 216-6 1층
경기도,의정부발곡역점,경기 의정부시 장암동 20-14 1층
충청남도,천안성거점,충청남도 천안시 서북구 성거읍 성거길 107 1층
경기도,수원호매실능실점,경기 수원시 권선구 호매실로104번길 24-76
제주도,제주도남점,제주특별자치도 제주시 도남동 920-23
대구광역시,대구현풍테크노중리점,대구 달성군 현풍읍 테크노상업로 48
제주도,빽다방 빵연구소 제주연동점,제주시 연동 256-2 1층
강원도,원주흥업점,강원도 원주시 흥업면 흥업리 1830-3 1층
경기도,미사센트럴자이점,경기 하남시 풍산동 504(미사강변대로 84) 미사탑프라자 106호
충청남도,천안신방성지점,충청남도 천안시 동남구 서부대로 268 104~105호
경기도,성남상대원금상점,경기 성남시 중원구 금상로96번길 2 1층 104호
전라북도,전주인후점,전북 전주시 덕진구 인후동 1가 846-6 101호
대전광역시,대전비래점,대전 대덕구 비래동로15번길 2
경기도,안양예술공원점,경기 안양시 만안구 안양동 1327(예술공원로 138)
경기도,오산세교금암점,경기 오산시 수청로 199 1층
대구광역시,대구칠곡팔거역점,대구 북구 팔거천동로 222 102호
경상남도,밀양미리벌점,경상남도 밀양시 삼문동 719-7 (미리벌 중앙로 46)
전라남도,광양마동점,전남 광양시 마동 1053-5
광주광역시,광주첨단재활병원점,광주광역시 광산구 쌍암동 666-2 104호
서울특별시,용마산역점,서울시 중랑구 면목로 27길 4 (면목동 372-21)
전라남도,목포상동점,전라남도 목포시 옥암로 182 1층​
강원도,강릉유천점,강원 강릉시 선수촌로 79-7 102호
경기도,수원정자시장점,경기 수원시 장안구 수성로 261번길 6
강원도,강릉포남점,강원 강릉시 포남동 1186-1 1층
경상남도,진주경상대후문점,경상남도 진주시 가좌동 868-25 (가좌길 17-1)
경기도,안성아양점,경기도 안성시 옥산동 598(안성시 아양1로 77-10) 해천프라자 1동 103호
서울특별시,신림대학점,서울 관악구 신림로23길 21 (신림동 웰탑스터디독서실) 1층
부산광역시,부산광안하버뷰점,부산광역시 수영구 민락수변로 49 광안KCC스위첸하버뷰 104호
부산광역시,부산금정구청점,부산광역시 금정구 부곡동 64-34 티아이더코어 101호
대전광역시,대전노은3동점,대전 유성구 지족동 1025-1 1층106호
경기도,수원곡선하늘채점,경기 수원시 권선구 곡반정로 151 1층
경상북도,경주대릉원점,경북 경주시 황남동192-4
서울특별시,수유시장점,서울 강북구 도봉로67길 8
충청남도,천안신부동아점,충남 천안시 동남구 터미널9길 25
경기도,평택법원점,경기 평택시 평남로 1039 105호
서울특별시,석촌역점,서울 송파구 송파동 19-8  1층
서울특별시,안국역점,서울 종로구 율곡로 63 (재동) 1층
경기도,지축역점,경기 고양시 덕양구 지축1로 39 지축프라자 104호
전라북도,군산시청점,전북 군산시 조촌4길 15 (조촌동) 1층
서울특별시,태릉입구역점,서울 노원구 동일로 986 104호
전라남도,순천금당점,전남 순천시 해룡면 장선배기길 141 1층 104호
서울특별시,서대문경희궁점,서울 종로구 경교장길 35 (평동 경희궁자이 3단지) 1층 3135호
대전광역시,대전갈마점,대전광역시 서구 신갈마로 110-1(갈마동)
서울특별시,창동역서부점,서울 도봉구 노해로63다길 10
경기도,부천도당산업단지점,경기 부천시 도당동 160-8
대구광역시,대구효목점,대구 동구 효목로 35
대전광역시,대전둔산청솔점,대전 서구 둔산로 216 (1층 빽다방 )
전라북도,전주아중점,전라북도 전주시 덕진구 아중로 175 102호
서울특별시,문정역점,서울 송파구 문정동 643-1(법원로 114)
경기도,삼송스칸센점,경기 고양시 덕양구 삼송로 240(삼송동 294) 힐스테이트삼송역스칸센 A동 124호
서울특별시,번동초교점,서울 강북구 번동 310-4 1층
경기도,화성병점2동점,경기도 화성시 병점2로 65
전라남도,여수학동e편한점,전라남도 여수시 학동 1번지 일원 A동 102호
광주광역시,광주양산중앙점,광주광역시 북구 양산로 43
인천광역시,남인천세무서점,인천광역시 남동구 인하로 545 (구월동) 인택스빌딩 1층 108호
울산광역시,울산서부점,울산광역시 동구 방어진순환도로 925
서울특별시,구로이앤씨6차점,서울특별시 구로구 디지털로31길 41 (구로동 이앤씨벤처드림타워6차) 1층 108호
경기도,광명일직점,경기도 광명시 일직동 510-7
대전광역시,대전맑은아침점,대전광역시 서구 내동 17-11 1층 111~112호
서울특별시,상계역점,서울특별시 노원구 중계동 606 1층 105호
세종특별자치시,세종반곡점,세종특별자치시 한누리대로 1828108호
서울특별시,건대동문회관점,서울특별시 광진구 아차산로36길 5
서울특별시,정릉뉴타운점,서울특별시 성북구 길음로9길 50 지2층8호 (길음동 1286외2필지 길음뉴타운 상가동 208호)
경기도,용인마북점,경기도 용인시 기흥구 마북로 159 1층 115호
충청남도,천안불당쌍용점,충청남도 천안시 서북구 불당11로 99 1층
대전광역시,대전유성구청점,대전광역시 유성구 어은동 110 동천빌딩 1층
경기도,구리수택점,경기도 구리시 수택동 847-7(체육관로80번길 9) 1층
경기도,풍산역점,경기도 고양시 일산동구 중산동 1806 103호
제주도,제주애월좋은마트점,제주특별자치도 제주시 애월읍 신엄리 2489-5
충청남도,천안터미널점,충청남도 천안시 동남구 만남로 15 (신부동 민현빌딩)
경상북도,경북상주홈마트점,경상북도 상주시 삼백로 144 1층
서울특별시,신당역점,서울특별시 중구 퇴계로 423 (황학동)
경기도,안산본오2동점,경기도 안산시 상록구 각골로 68 (본오동) 1층
세종특별자치시,세종종촌점,세종특별자치시 종촌동 658 104호
전라북도,전주효자안행교점,전라북도 전주시 완산구 효자동1가 281-3 1층
경상남도,빽다방 빵연구소 김해삼계한라비발디점,경상남도 김해시 삼계동 634
