district,longitude,latitude,label
강서구,126.8495,37.551,강서
양천구,126.855396,37.52424,강서
구로구,126.8874,37.4954,강서
금천구,126.902,37.4519,강서
마포구,126.908728,37.560229,강서
관악구,126.915065,37.487517,강남
동작구,126.9393,37.5124,강남
서초구,127.0324,37.4837,강남
강남구,127.0473,37.5172,강남
송파구,127.117898,37.50351,강남
용산구,127.008605,37.532561,강북
종로구,126.9794,37.573,강북
성북구,127.056344,37.603979,강북
노원구,127.0568,37.6542,강북
도봉구,127.0471,37.6688,강북
성동구,127.041667,37.55734,강동
동대문구,127.025288,37.575759,강동
광진구,127.083467,37.557562,강동
강동구,127.151405,37.554194,강동
중랑구,127.090384,37.593684,강동