dong,longitude,latitude,label
개봉동,126.854547,37.489853,강서
고척동,126.859245,37.501394,강서
화곡동,126.847951,37.537759,강서
방화동,126.815719,37.575817,강서
상암동,126.89162,37.577039,강서
논현동,127.03072,37.508838,강남
대치동,127.057193,37.501163,강남
서초동,127.018281,37.486401,강남
방배동,126.988194,37.483279,강남
도곡동,127.043159,37.492896,강남
평창동,126.975724,37.612129,강북
성북동,126.998067,37.597916,강북
쌍문동,127.030421,37.648094,강북
우이동,127.011396,37.648446,강북
삼청동,126.980488,37.591109,강북
화양동,127.071648,37.544234,강동
구이동,127.086803,37.543757,강동
능동,127.080248,37.553102,강동
암사동,127.127124,37.55237,강동
천호동,127.137382,37.547436,강동